PeriodEnd,PeriodStart,Period,AirTemp,Azimuth,Dhi,Dni,Ghi,SnowWater,WindSpeed10m,Zenith,AlbedoDaily
2019-12-31T02:00:00Z,2019-12-31T01:00:00Z,PT60M,-3.2,81,0,0,0,16.8,6.2,130,0.57
2019-12-31T03:00:00Z,2019-12-31T02:00:00Z,PT60M,-3.3,67,0,0,0,17.1,6.3,140,0.57
2019-12-31T04:00:00Z,2019-12-31T03:00:00Z,PT60M,-3.1,48,0,0,0,17.3,6.1,148,0.57
2019-12-31T05:00:00Z,2019-12-31T04:00:00Z,PT60M,-3.1,22,0,0,0,17.3,5.4,154,0.57
2019-12-31T06:00:00Z,2019-12-31T05:00:00Z,PT60M,-3.1,-11,0,0,0,17.3,5.2,155,0.57
2019-12-31T07:00:00Z,2019-12-31T06:00:00Z,PT60M,-2.8,-40,0,0,0,17.3,5.3,151,0.57
2019-12-31T08:00:00Z,2019-12-31T07:00:00Z,PT60M,-2.4,-61,0,0,0,17.3,5.1,143,0.57
2019-12-31T09:00:00Z,2019-12-31T08:00:00Z,PT60M,-2.3,-76,0,0,0,17.3,5.0,134,0.57
2019-12-31T10:00:00Z,2019-12-31T09:00:00Z,PT60M,-2.5,-89,0,0,0,17.3,4.6,124,0.57
2019-12-31T11:00:00Z,2019-12-31T10:00:00Z,PT60M,-2.9,-99,0,0,0,17.3,4.6,113,0.57
2019-12-31T12:00:00Z,2019-12-31T11:00:00Z,PT60M,-3.5,-110,0,0,0,17.3,4.5,104,0.57
2019-12-31T13:00:00Z,2019-12-31T12:00:00Z,PT60M,-3.7,-120,0,0,0,17.4,4.3,94,0.57
2019-12-31T14:00:00Z,2019-12-31T13:00:00Z,PT60M,-3.5,-131,26,5,26,17.4,4.4,86,0.57
2019-12-31T15:00:00Z,2019-12-31T14:00:00Z,PT60M,-3.0,-143,92,0,92,17.4,4.3,79,0.57
2019-12-31T16:00:00Z,2019-12-31T15:00:00Z,PT60M,-2.5,-156,150,5,151,17.4,4.1,74,0.57
2019-12-31T17:00:00Z,2019-12-31T16:00:00Z,PT60M,-2.0,-170,178,4,179,17.4,3.9,71,0.57
2019-12-31T18:00:00Z,2019-12-31T17:00:00Z,PT60M,-1.5,175,156,0,156,17.4,3.7,71,0.57
2019-12-31T19:00:00Z,2019-12-31T18:00:00Z,PT60M,-1.1,161,144,0,144,17.3,3.6,73,0.57
2019-12-31T20:00:00Z,2019-12-31T19:00:00Z,PT60M,-1.0,147,121,0,121,17.3,3.1,77,0.57
2019-12-31T21:00:00Z,2019-12-31T20:00:00Z,PT60M,-1.4,135,48,8,50,17.3,2.4,84,0.57
2019-12-31T22:00:00Z,2019-12-31T21:00:00Z,PT60M,-2.1,124,1,0,1,17.3,2.1,92,0.57
2019-12-31T23:00:00Z,2019-12-31T22:00:00Z,PT60M,-2.6,113,0,0,0,17.4,2.2,100,0.57
2020-01-01T00:00:00Z,2019-12-31T23:00:00Z,PT60M,-2.7,103,0,0,0,16.9,1.6,110,0.57
2020-01-01T01:00:00Z,2020-01-01T00:00:00Z,PT60M,-2.8,92,0,0,0,16.3,1.3,120,0.57
2020-01-01T02:00:00Z,2020-01-01T01:00:00Z,PT60M,-3.1,81,0,0,0,16.4,1.2,130,0.57
2020-01-01T03:00:00Z,2020-01-01T02:00:00Z,PT60M,-3.6,67,0,0,0,16.4,0.8,140,0.57
2020-01-01T04:00:00Z,2020-01-01T03:00:00Z,PT60M,-4.1,48,0,0,0,16.5,0.4,148,0.57
2020-01-01T05:00:00Z,2020-01-01T04:00:00Z,PT60M,-4.4,22,0,0,0,16.5,0.5,154,0.57
2020-01-01T06:00:00Z,2020-01-01T05:00:00Z,PT60M,-4.7,-10,0,0,0,16.5,1.0,155,0.57
2020-01-01T07:00:00Z,2020-01-01T06:00:00Z,PT60M,-5.0,-40,0,0,0,16.5,1.6,151,0.57
2020-01-01T08:00:00Z,2020-01-01T07:00:00Z,PT60M,-5.3,-61,0,0,0,16.5,2.0,143,0.57
2020-01-01T09:00:00Z,2020-01-01T08:00:00Z,PT60M,-5.5,-76,0,0,0,16.5,2.1,134,0.57
2020-01-01T10:00:00Z,2020-01-01T09:00:00Z,PT60M,-5.6,-88,0,0,0,16.5,1.9,124,0.57
2020-01-01T11:00:00Z,2020-01-01T10:00:00Z,PT60M,-5.9,-99,0,0,0,16.5,2.0,114,0.57
2020-01-01T12:00:00Z,2020-01-01T11:00:00Z,PT60M,-6.0,-109,0,0,0,16.7,2.4,104,0.57
2020-01-01T13:00:00Z,2020-01-01T12:00:00Z,PT60M,-5.7,-120,0,0,0,16.9,2.8,95,0.57
2020-01-01T14:00:00Z,2020-01-01T13:00:00Z,PT60M,-5.5,-131,28,71,35,17.0,2.9,86,0.57
2020-01-01T15:00:00Z,2020-01-01T14:00:00Z,PT60M,-5.1,-143,82,0,82,17.1,2.8,79,0.57
2020-01-01T16:00:00Z,2020-01-01T15:00:00Z,PT60M,-4.4,-156,113,0,113,17.0,2.8,74,0.57
2020-01-01T17:00:00Z,2020-01-01T16:00:00Z,PT60M,-3.9,-170,118,0,118,16.9,3.0,71,0.57
2020-01-01T18:00:00Z,2020-01-01T17:00:00Z,PT60M,-3.6,175,126,0,126,16.9,3.3,71,0.57
2020-01-01T19:00:00Z,2020-01-01T18:00:00Z,PT60M,-3.5,161,154,0,154,16.9,3.6,73,0.57
2020-01-01T20:00:00Z,2020-01-01T19:00:00Z,PT60M,-3.8,147,115,0,115,16.9,3.7,77,0.57
2020-01-01T21:00:00Z,2020-01-01T20:00:00Z,PT60M,-4.5,135,52,0,52,16.9,3.6,84,0.57
2020-01-01T22:00:00Z,2020-01-01T21:00:00Z,PT60M,-5.6,124,2,0,2,17.0,2.9,91,0.57
2020-01-01T23:00:00Z,2020-01-01T22:00:00Z,PT60M,-6.6,113,0,0,0,17.1,2.4,100,0.57
2020-01-02T00:00:00Z,2020-01-01T23:00:00Z,PT60M,-6.7,103,0,0,0,17.3,2.6,110,0.57
2020-01-02T01:00:00Z,2020-01-02T00:00:00Z,PT60M,-6.4,92,0,0,0,17.4,3.0,120,0.57
2020-01-02T02:00:00Z,2020-01-02T01:00:00Z,PT60M,-6.8,81,0,0,0,17.4,2.7,130,0.57
2020-01-02T03:00:00Z,2020-01-02T02:00:00Z,PT60M,-7.8,67,0,0,0,17.4,2.0,140,0.57
2020-01-02T04:00:00Z,2020-01-02T03:00:00Z,PT60M,-8.2,48,0,0,0,17.4,1.9,148,0.57
2020-01-02T05:00:00Z,2020-01-02T04:00:00Z,PT60M,-7.9,22,0,0,0,17.4,2.2,154,0.57
2020-01-02T06:00:00Z,2020-01-02T05:00:00Z,PT60M,-7.5,-10,0,0,0,17.4,2.2,155,0.57
2020-01-02T07:00:00Z,2020-01-02T06:00:00Z,PT60M,-7.2,-39,0,0,0,17.4,2.0,151,0.58
2020-01-02T08:00:00Z,2020-01-02T07:00:00Z,PT60M,-6.7,-61,0,0,0,17.4,1.9,143,0.58
2020-01-02T09:00:00Z,2020-01-02T08:00:00Z,PT60M,-6.0,-76,0,0,0,17.4,2.2,134,0.58
