air_temp,albedo,azimuth,dhi,dni,ghi,snow_depth,wind_speed_10m,zenith,period_end,period
-1,0.39,90,0,0,0,10.4,1.4,123,2020-01-01T01:00:00Z,PT60M
-1,0.39,78,0,0,0,10.4,1.2,134,2020-01-01T02:00:00Z,PT60M
-1,0.39,64,0,0,0,10.5,1.2,144,2020-01-01T03:00:00Z,PT60M
-1,0.39,43,0,0,0,10.8,1.5,152,2020-01-01T04:00:00Z,PT60M
-1,0.39,12,0,0,0,11,2.4,157,2020-01-01T05:00:00Z,PT60M
-0,0.44,-23,0,0,0,11.4,3.8,156,2020-01-01T06:00:00Z,PT60M
-0,0.44,-50,0,0,0,11.6,4.4,150,2020-01-01T07:00:00Z,PT60M
-0,0.44,-69,0,0,0,11.6,4.1,141,2020-01-01T08:00:00Z,PT60M
-1,0.44,-82,0,0,0,11.6,3.6,131,2020-01-01T09:00:00Z,PT60M
-1,0.44,-93,0,0,0,12.1,3.6,120,2020-01-01T10:00:00Z,PT60M
-2,0.44,-103,0,0,0,12.5,3.5,110,2020-01-01T11:00:00Z,PT60M
-2,0.44,-113,0,0,0,12.4,3.2,100,2020-01-01T12:00:00Z,PT60M
-2,0.44,-123,2,0,2,12.1,3.3,90,2020-01-01T13:00:00Z,PT60M
-1,0.44,-135,48,0,48,12,3.3,82,2020-01-01T14:00:00Z,PT60M
-1,0.44,-147,78,0,78,12,3.8,76,2020-01-01T15:00:00Z,PT60M
-1,0.44,-160,114,0,114,12.1,5,71,2020-01-01T16:00:00Z,PT60M
-1,0.44,-175,133,0,133,12.4,5.9,69,2020-01-01T17:00:00Z,PT60M
-2,0.44,170,144,0,144,12.5,5.8,69,2020-01-01T18:00:00Z,PT60M
-2,0.44,156,98,0,98,12.5,5.5,72,2020-01-01T19:00:00Z,PT60M
-2,0.44,143,50,0,50,12.6,5.1,78,2020-01-01T20:00:00Z,PT60M
-2,0.44,131,23,0,23,12.6,4.6,85,2020-01-01T21:00:00Z,PT60M
-2,0.44,120,0,0,0,12.6,4.2,93,2020-01-01T22:00:00Z,PT60M
-2,0.44,110,0,0,0,12.6,3.9,103,2020-01-01T23:00:00Z,PT60M
-2,0.44,100,0,0,0,12.4,3.9,113,2020-01-02T00:00:00Z,PT60M
-2,0.44,90,0,0,0,12.2,4,123,2020-01-02T01:00:00Z,PT60M
-1,0.44,78,0,0,0,12.4,4.1,134,2020-01-02T02:00:00Z,PT60M
-1,0.44,64,0,0,0,12.6,4.4,144,2020-01-02T03:00:00Z,PT60M
-0,0.44,43,0,0,0,12.8,4.6,152,2020-01-02T04:00:00Z,PT60M
0,0.44,12,0,0,0,12.9,4.7,157,2020-01-02T05:00:00Z,PT60M
0,0.46,-22,0,0,0,12.9,4.8,156,2020-01-02T06:00:00Z,PT60M
0,0.46,-50,0,0,0,12.9,4.7,150,2020-01-02T07:00:00Z,PT60M
-0,0.46,-69,0,0,0,12.9,4.6,141,2020-01-02T08:00:00Z,PT60M
-1,0.46,-82,0,0,0,12.9,4.4,131,2020-01-02T09:00:00Z,PT60M
-2,0.46,-93,0,0,0,13.3,4.1,120,2020-01-02T10:00:00Z,PT60M
-2,0.46,-103,0,0,0,14,3.7,110,2020-01-02T11:00:00Z,PT60M
-3,0.46,-113,0,0,0,14.3,3.3,100,2020-01-02T12:00:00Z,PT60M
-3,0.46,-123,6,0,6,14.4,2.9,90,2020-01-02T13:00:00Z,PT60M
-3,0.46,-134,66,0,66,14.6,2.7,82,2020-01-02T14:00:00Z,PT60M
-2,0.46,-147,140,55,155,14.8,2.5,76,2020-01-02T15:00:00Z,PT60M
